Destination_Zone,Count
4005,1978772.13
4001,1551325.12
4000,1451701.98
4003,915070.73
4002,460915.54
4004,336738.43
903,212784.64
897,166464.74
977,150534.88
902,68183
499,64102.76
906,44905.65
936,44850.15
895,42061.2
632,41606.65
935,41344.78
904,39290.14
820,38422.94
1104,37176.75
1109,35889.69
801,34199.09
635,34132.74
949,33706.49
1106,31990.75
500,31903.43
