Destination_Zone,Count
4005,1798190.63
4001,1515781.43
4000,1490119.79
4003,876141.5
4002,473336.49
4004,350420.83
903,229483.69
897,188081.53
977,139638
902,72909
801,51934.05
820,48703
632,46934.47
799,44547.48
906,42792.43
895,42698.1
904,41318.4
935,39999.17
1109,37146.05
900,35818.78
1106,35087.01
932,34132.3
936,34049.97
917,33333.87
1294,32998.03
