Destination_Zone,Count
4005,2035386.56
4001,1612425.76
4000,1514634.05
4003,978372.01
4002,463327.8
4004,346141.69
903,264729.52
897,238072.11
977,158639.51
902,82202.98
904,68803.11
1104,63672.08
906,63429.46
499,61092
801,43642.98
900,40611.19
895,39672.19
632,39103.82
799,38095.16
932,38079.02
935,35234.61
1109,34455.49
820,34424.18
635,33821.65
1294,32626.42
