Destination_Zone,Count
4005,2091464.2
4001,1640526.87
4000,1581588.04
4003,965078.38
4002,514377.08
4004,360040.86
903,331055.21
897,303701.63
977,157708.06
902,87658.06
904,83182.82
932,68384.6
799,67975.24
900,60515.02
499,58216.15
906,58087.9
801,56875.54
895,47694.39
800,41607.03
632,41252.77
917,39768.54
935,37245.96
1294,36905.66
820,36078.19
635,35717.12
